"Core","Number"
"NGRIP",1
"GRIP",2
"Burial Lake",3
"Beringia (A)",4
"Beringia (B)",5
"Beringia (C)",6
"Beringia (D)",7
"NA87-22",8
"MD01-2461",9
"W8709A-8",10
"CH69-09",11
"PC-6",12
"BS79-38",13
"SU81-18_Bard",14
"SU81-18_Waelbroeck",15
"MD95-2037",16
"M39-008",17
"MD95-2043",18
"MD01-2421",19
"MS2008E",20
"OCE326-GGC5",21
"KT92-17 St.14",22
"KNR140-51GGC",23
"GeoB7702-3",24
"KY07-04-01",25
"MD98-2195",26
"MD02-2575",27
"GeoB5844-2",28
"EN32-PC6",29
"ODP658C_deMenocal",30
"ODP658C_Zhao",31
"17940",32
"ODP1144",33
"74KL UK'37",34
"74KL TEX86",35
"M35003-4",36
"VM28-122",37
"NIOP-905 UK'37",38
"NIOP-905 TEX86",39
"PL07-39PC",40
"MD97-2141",41
"MD02-2529",42
"ME0005A-43JC_MgCa",43
"MD01-2390 UK'37",44
"MD01-2390 MgCa",45
"MD98-2181",46
"MD03-2707",47
"GeoB4905",48
"TR163-22",49
"ME0005A-24JC",50
"V21-30 UK'37",51
"V21-30 MgCa",52
"V19-28",53
"GeoB3910",54
"GeoB3129",55
"MD9821-62",56
"MD98-2176",57
"GeoB 6518-1 MBTCBT",58
"GeoB 6518-1 UK'37",59
"NP04-KH3",60
"MD98-2165",61
"MD98-2170",62
"MD01-2378",63
"GeoB 1023-5",64
"MD79257",65
"ODP1084B",66
"GeoB7139-2",68
"KNR159-5-36GGC",67
"MD03-2611",69
"MD97-2121",70
"ODP1233",71
"TN057-21 UK'37",72
"TN057-21 MgCa",73
"SO136-GC11",74
"MD97-2120",75
"MD88-770",76
"EDML",77
"DomeC",78
"DomeF",79
"Vostok",80
